Job Title,Company Name,Location,Job Link,Experience Required
Business Analyst,Schbang,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/business-analyst-at-schbang-4004915027?position=11&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=7QAz5nWgEkUbhS5HyYoJfw%3D%3D&trk=public_jobs_jserp-result_search-card,"Experience Required:
● 1 year experience in data reporting & business analytics.

Major Roles & Responsibilities:
● Collaborating with various departments and stakeholders in the company to understand the current business scenario, challenges, and analytical requirements.
"
Data Analyst,EXL,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-exl-4001289012?position=12&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=YwFdLxwXvgMmUL%2BYwxcuBQ%3D%3D&trk=public_jobs_jserp-result_search-card,"At EXL, it’s all about outcomes—your outcomes—and delivering success on your terms. Share your goals with us and together, we’ll optimize how you leverage data to drive your business forward.

For more information, visit www.exlservice.com.
Website

"
Analyst-Data Analysis,Tesco Bengaluru,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-data-analysis-at-tesco-bengaluru-4008599804?position=13&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=muuOPByjx6ibcY8A2XVFcg%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description

Tesco Bengaluru

We are a multi-disciplinary team creating a sustainable competitive advantage for Tesco by standardising processes, delivering cost savings, enabling agility, providing cutting-edge technological solutions and empowering our colleagues to do ever more for our customers. With cross-functional expertise in Global Business Services and Retail Technology & Engineering, a wide network of teams and strong governance we reduce complexity thereby offering high quality services for our customers. Tesco Bengaluru, established in 2004 to enable standardisation and build centralised capabilities and competencies, makes the experience better for our millions of customers worldwide and simpler for over 4,40,000 colleagues.

At Tesco Business Solutions, we have a mission to simplify, scale & partner to serve our customers, colleagues and suppliers through a best-in-class intelligent Business Services model . We do this by building a world class business services model by executing servicea model framework right at the heart of everything we do for our worldwide customers. The key objective is to implement and execute service model across all our functions and markets consistently. The ethos of business services is to free-up our colleagues from a regular manual operational work. We use cognitive technology to augment our key decision making. We also built a Continuous Improvement (CI) culture across functions to drive bottom-up business efficiencies by optimising processes. Business services colleagues need to act as a business partner with our group stakeholders to build a collaborative partnership driving continuous improvement across markets and functions to lead the best customer experience by serving our shoppers a little better every day.

At Tesco, inclusion means that Everyone's Welcome. Everyone is treated fairly and with respect; by valuing individuality and uniqueness we create a sense of belonging.

Diversity and inclusion have always been at the heart of Tesco. It is embedded in our values: we treat people how they want to be treated. We always want our colleagues to feel they can be themselves at work and we are committed to helping them be at their best.

Across the Tesco group we are building an inclusive workplace, a place to actively celebrate the cultures, personalities and preferences of our colleagues, who in turn help to build the success of our business and reflect the diversity of the communities we serve.











Hiring Manager: Kushal Mysore Prasanna

Last Date of Application: 14th June 2024

Important Notice:

On behalf of Tesco Bengaluru, we must caution all job seekers and educational institutions that Tesco Bengaluru does not authorise any third parties to release employment offers or conduct recruitment drives via a third party. Hence, beware of inauthentic and fraudulent job offers or recruitment drives from any individuals or websites purporting to represent Tesco. Further, Tesco Bengaluru does not charge any fee or other emoluments for any reason (including without limitation, visa fees) or seek compensation from educational institutions to participate in recruitment events.

Accordingly, please check the authenticity of any such offers before acting on them and where acted upon, you do so at your own risk. Tesco Bengaluru shall neither be responsible for honouring or making good the promises made by fraudulent third parties, nor for any monetary or any other loss incurred by the aggrieved individual or educational institution.

In the event that you come across any fraudulent activities in the name of Tesco Bengaluru, please feel free report the incident at recruitment_compliance_india@tesco.com
"
Analyst,Wipro,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/analyst-at-wipro-3999502342?position=14&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=OinzVulDopyUDdlTRSYlqQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Treasury analytics:
Assist to enhance treasury reporting/s
Knowledge of data models and reporting will be added advantage
Ability to analyze large datasets, model and interpret data







"
"Business Analyst, noon food",noon,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/business-analyst-noon-food-at-noon-4006864864?position=15&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=c6BCcs5KljdhiqyQyYT57A%3D%3D&trk=public_jobs_jserp-result_search-card,"About noon
noon, the region's leading consumer commerce platform. On December 12th, 2017, noon launched its consumer platform in Saudi Arabia and the UAE, expanding to Egypt in February 2019. The noon ecosystem of services now marketplaces for food delivery, quick commerce, fintech, and fashion. noon is a work in progress; we’re six years in, but only 5% done.





"
Analyst,Wipro,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/analyst-at-wipro-3988066557?position=16&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=PK5wrdT2TCcmwX0rYzdoRA%3D%3D&trk=public_jobs_jserp-result_search-card,"Shift: 7AM-4:30PM

Reports to: Team Manager – Corporate Secretarial

Profile: You have at least 2 - 3 years’ experience in the legal/corporate department of a fiduciary or have worked in a law firm / corporate secretarial firm / reputable investment firm or MNC. You are willing and looking to consolidate and grow your skills and talents in the long term with a company that works in a fast-paced, strong team and results-based environment. You will work closely with your colleagues within local office and counterparts in an effective manner, to continuously meet clients’ expectations and maintain good client relationship management so as to optimise the work process. You speak English fluently.





"
Risk Analyst,Ring,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/risk-analyst-at-ring-4002466434?position=17&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=7fCHSWfuMjyS4u5nrD329g%3D%3D&trk=public_jobs_jserp-result_search-card,"Ring is a “Made in India” online Instant Credit Platform operated by ONEMi Technology Solutions Private Limited with a vision to provide speedy and hassle-free credit financing to its customers across India.

Ring has also been recognized as a Great Place to Work organization.






"
Business Analyst,Virtusa,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/business-analyst-at-virtusa-4006116008?position=18&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=N9Ld3NTJbnhDz2YpzIGhqA%3D%3D&trk=public_jobs_jserp-result_search-card,"Supports the continuous iterative exploration and investigation of business performance and other measures to gain insight and drive business planning.
Supports in the implementation of ways to improve working processes within the area of Business Analysis.
"
"Analyst, Private Equity Asia, India",CPP Investments | Investissements RPC,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/analyst-private-equity-asia-india-at-cpp-investments-investissements-rpc-4008680347?position=19&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=p4V9%2B4Opxl8xvSUNSzeJlw%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description

Make an impact at a global and dynamic investment organization

When you invest your career in CPP Investments, you join one of the most respected and fastest growing institutional investors in the world. With current assets under management valued in excess of $500 billion, CPP Investments is a professional investment management organization that globally invests the funds of the Canada Pension Plan (CPP) to help ensure long-term sustainability. The CPP Fund is projected to reach $3 trillion by 2050. CPP Investments invests in all major asset classes, including public equity, private equity, real estate, infrastructure and fixed-income instruments, and is headquartered in Toronto with offices in Hong Kong, London, Luxembourg, Mumbai, New York City, San Francisco, São Paulo and Sydney.

CPP Investments attracts and selects high-calibre individuals from top-tier institutions around the globe. Join our team and look forward to:



If you share a passion for performance, value a collegial and collaborative culture, and approach everything with the highest integrity, here’s an opportunity for you to invest your career at CPP Investments.



We are currently recruiting for an Analyst for the Private Equity Asia group with a focus on direct private equity investments. Located in our Mumbai office, and reporting to the Managing Director & Head of Private Equity Asia, the Analyst will play a key role in making direct investments in the Asia Pacific region with a focus on India.



Analyze Investment Opportunities



Recommend



Monitor Investment Portfolio









Visit our or on

At CPP Investments, we are committed to diversity and equitable access to employment opportunities based on ability.

We thank all applicants for their interest but will only contact candidates selected to advance in the hiring process.



In addition to being dedicated to building a workforce that reflects diverse talent, we are committed to fostering an inclusive and accessible experience. If you require an accommodation for any part of the recruitment process (including alternate formats of materials, accessible meeting rooms, etc.), please let us know and we will work with you to meet your needs.



CPP Investments does not accept resumes from employment placement agencies, head-hunters or recruitment suppliers that are not in a formal contractual arrangement with us. Our recruitment supplier arrangements are restricted to specific hiring needs and do not include this or other web-site job postings. Any resume or other information received from a supplier not approved by CPP Investments to provide resumes to this posting or web-site will be considered unsolicited and will not be considered. CPP Investments will not pay any referral, placement or other fee for the supply of such unsolicited resumes or information.

"
Business Intelligence Analyst,upGrad,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/business-intelligence-analyst-at-upgrad-4001367209?position=20&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=Vc%2F3m8IOsqZLEamZQ4MatA%3D%3D&trk=public_jobs_jserp-result_search-card,"Position : BI Analyst
Work Location : Bangalore
Work Mode : WFO / Hybrid
Notice Period : Immediate Joiners or 15 Days’ Notice.
Years of experience : 4-6 Years relevant experience
• Strong hands-on experience in SQL, Power BI, Excel and Python is a must.
"
Associate Data Analyst,Playo,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-data-analyst-at-playo-3998224654?position=21&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=7a1cQrgVnJRglkKuTx9mIA%3D%3D&trk=public_jobs_jserp-result_search-card,"The Opportunity:
We are looking for a kickass Data Analyst to manage data requirements as a part of the core team and get to live the start-up life. We are a bunch of sports-crazy freaks with a love for consumer apps and all things cool. So, if you are a self-starter with attention to detail, a penchant for perfection and look for solutions rather than just narrating the problem - then you’re the one for us.


"
Analyst,Wipro,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/analyst-at-wipro-3978264394?position=22&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=PgBTFOWlQ6uuifjOneBQMw%3D%3D&trk=public_jobs_jserp-result_search-card,"Coordinates work flow and tactical implementation of various activities related to maintaining facility, provider network and contracting initiatives.
Participates in projects designed to improve all levels of network performance, which may include multiple lines of business.


Claims_Processing
"
Associate,PwC India,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/associate-at-pwc-india-4001489299?position=23&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=EBg1q3JvzX6xXJw00etFMw%3D%3D&trk=public_jobs_jserp-result_search-card,"Line of Service

Advisory

Industry/Sector

Not Applicable



Microsoft



Associate



A career in our People Strategy practice, within People and Organisation services, will provide you with the opportunity to help our clients reset their talent strategies and deliver extraordinary business results through their people. We focus on evaluating and managing their unique challenges so our clients can maximise their return on the overall investment in human capital. You’ll gain a tremendous depth of expertise in all aspects of human capital, including creating sustainable value through people culture and change, designing compensation and retirement strategies, and improving human capital operations.

Our team helps organisations realise their business strategy and objectives through their people. As part of the team, you’ll help our clients diagnose their current organisational landscape and people strategy, map a workforce lifecycle and build an engagement story to bring the strategy to life, and implement the supporting infrastructure to ensure that our clients’ business strategy remains aligned and the organisation is engaged with the people strategy.

Role Purpose

The incumbent of this role is a key face of the P&O practice in the market. The focus of the role

is to establish PwC P&O as a partner of choice for clients though

effective solutioning and high impact business delivery.

Experience and Exposure




specific areas ... hands-on knowledge of the HR Technology




Key Responsibilities




leading pursuits across industry verticals and offerings in line with the strategic

priorities of the practice. Supporting the key account strategy for the practice. Representing the

P&O point of view in internal [cross-functional, multi-disciplinary] forums.

Contributing to solution definition by weaving together the client’s perspective with PwC’s

expertise and creating/communicating a compelling value proposition for clients.

Ensuring adherence to PwC’s commercial, independence and risk guidelines.




project/program management, resource management to ensuring the quality of

deliverables/impact. Ensuring adherence to PwC’s risk, quality and delivery excellence

guidelines. Managing cross-functional projects with resources from multiple

geographies, practices. Ensuring adherence to key projects in a project context e.g. knowledge

management, capability building, etc.




developing the research base of the practice. Work with member firms globally to

understand the PwC capability repertoire and look at how to position that in the Indian context

more effectively.




well as a people manager. Providing feedback and helping them develop by

balancing their aspirations with firm/practice expectations.

Key Interfaces




delivery




or a business delivery perspective)




Indicative Time Split




Leadership – 40%




Indicative Travel : 30%-40%

Mandatory Skill Set-



Year of experience required-1-3







Degrees/Field of Study preferred:





Human Resources Consulting











"
Analyst,Wipro,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-at-wipro-3960628135?position=24&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=WcP67DiFFmj6iPgjzYdPVA%3D%3D&trk=public_jobs_jserp-result_search-card,"Roles & Responsibilities:

Perform every first of the month standing instructions request are sent to the clients on priority. 2. Seasional high volume Balance Confirmation statements accuratly completed and send to client's auditors3. Maker and checker on client onboarding into various source system including comman data changes and maintainance request for all the accounts4. Maker for Dodd Frank client maintance such as client profiles and email address for the delivery of daily Market Value reporting 5. Responsible for post boarding syndicated loans quality control process on Key Data Elements6. Primary responsibility is to ensure certify and safeguard the accuracy of KDE's from source docs to the designated system of records. As a custodian team member, they need to have strong knowledge on credit agreement and able to identify/analyze any errors in the system.7. Reaching out to various departments like Loan Administrative Department (LAD), Commercial Loan Operations (CLO), Relationship managers, Front Office through email if any descrepencies found from source doc and internal system inputs8. Need to monitor the group mailbox on daily basis and ensure all emails are replied on same day.9. Need to monitor the queue and work on the request according to SLA.10. Following escalation matrix on Internal /External dependencies11. They also need to coordinate with the other team members accross MUFG to ensure the identified errors are corrected in time. Regular email follow ups to be made if there is no response from other teams.12. Some of the reqeust will need attention in next 10mins, those needs to be handled in time. There will be continuous follow up by the requestor on the chat or on emails to get the priority account openings to be completed.13. Progress report to be shared at EOD with detailed comments

Investment Banking(Loans)
"
Business Analyst,Curefit - house of cult,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-analyst-at-curefit-house-of-cult-4007582890?position=25&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=nvi6nR64v8YnHSK%2B%2B2FgvQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Qualification And Skills Required

2 or more years of experience as a Product/Business Analyst
⁠SQL is a must
⁠Have owned, Co-owned, or driven customer facing projects
"
Data Analyst,LTIMindtree,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-ltimindtree-4002819778?position=26&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=IBEuNdHMzXKpmI0aObOPkQ%3D%3D&trk=public_jobs_jserp-result_search-card,"LTIMindtree is looking for Data Analyst

Experience- 5 to 8 Years
Job Location- Hyderabad
5years of experience in the field of data analysis
Cloud experience like AWS GCP

"
Associate,PwC India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-at-pwc-india-4001491126?position=27&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=aVlxqBCNnWxjZIdJbQIkZA%3D%3D&trk=public_jobs_jserp-result_search-card,"Line of Service

Advisory

Industry/Sector

Not Applicable



Microsoft



Associate



A career in our People Strategy practice, within People and Organisation services, will provide you with the opportunity to help our clients reset their talent strategies and deliver extraordinary business results through their people. We focus on evaluating and managing their unique challenges so our clients can maximise their return on the overall investment in human capital. You’ll gain a tremendous depth of expertise in all aspects of human capital, including creating sustainable value through people culture and change, designing compensation and retirement strategies, and improving human capital operations.

Our team helps organisations realise their business strategy and objectives through their people. As part of the team, you’ll help our clients diagnose their current organisational landscape and people strategy, map a workforce lifecycle and build an engagement story to bring the strategy to life, and implement the supporting infrastructure to ensure that our clients’ business strategy remains aligned and the organisation is engaged with the people strategy.

Role Purpose

The incumbent of this role is a key face of the P&O practice in the market. The focus of the role

is to establish PwC P&O as a partner of choice for clients though

effective solutioning and high impact business delivery.

Experience and Exposure




specific areas ... hands-on knowledge of the HR Technology




Key Responsibilities




leading pursuits across industry verticals and offerings in line with the strategic

priorities of the practice. Supporting the key account strategy for the practice. Representing the

P&O point of view in internal [cross-functional, multi-disciplinary] forums.

Contributing to solution definition by weaving together the client’s perspective with PwC’s

expertise and creating/communicating a compelling value proposition for clients.

Ensuring adherence to PwC’s commercial, independence and risk guidelines.




project/program management, resource management to ensuring the quality of

deliverables/impact. Ensuring adherence to PwC’s risk, quality and delivery excellence

guidelines. Managing cross-functional projects with resources from multiple

geographies, practices. Ensuring adherence to key projects in a project context e.g. knowledge

management, capability building, etc.




developing the research base of the practice. Work with member firms globally to

understand the PwC capability repertoire and look at how to position that in the Indian context

more effectively.




well as a people manager. Providing feedback and helping them develop by

balancing their aspirations with firm/practice expectations.

Key Interfaces




delivery




or a business delivery perspective)




Indicative Time Split




Leadership – 40%




Indicative Travel : 30%-40%

Mandatory Skill Set-



Year of experience required-1-3







Degrees/Field of Study preferred:





Human Resources Consulting











"
Financial Analyst,Tata Consultancy Services,"Kolkata, West Bengal, India",https://in.linkedin.com/jobs/view/financial-analyst-at-tata-consultancy-services-4005862294?position=28&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=7gNlg69J5Qih6jBonLriEA%3D%3D&trk=public_jobs_jserp-result_search-card,"Mega Walk-in | TCS Kolkata Hiring for Financial Analyst

INTERVIEW DETAILS:

Interview date: 24th August 2024, Saturday
Interview time:




"
Senior Business Analyst,intive,India,https://in.linkedin.com/jobs/view/senior-business-analyst-at-intive-4001703163?position=29&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=EXq9CunMxalm14OU9GX8Iw%3D%3D&trk=public_jobs_jserp-result_search-card,"About Intive

intive is a global Tech company that combines deep industry expertise, user-centric design and world-class software engineering. With a diverse team of +2,000 people and its human-centric approach, intive creates digital products that empower users, deliver business value and make a societal impact.

intive has over 20 years of experience innovating with customers across industries, including Technology, Media and Communications, Retail, Automotive, FinTech, and Telecommunications. By focusing on creating sustainable impact through digital products, intive has won the trust of leading brands such as Audi, BASF, BMW, Deichmann, Discovery, Facebook, Tandem, Paramount and Vorwerk.


















We foster an environment where innovative ideas and excellence can thrive - both on-site and remotely. Our learning culture rewards curiosity and empowers our team members to learn, grow, and take charge of their careers.




"
